Neighborhood,total_arrests,arrests_per_month,felony_count,misdemeanor_count,infraction_count,felony_ratio,misdemeanor_ratio,infraction_ratio,violent_crime_count,property_crime_count,society_crime_count,groupB_crime_count,multi_crime_count,violent_ratio,property_ratio,society_ratio,groupB_ratio,night_crime_count,night_ratio,arrests_2024,arrests_2025,yoy_change,improving_flag
CRAWFORD-ROBERTS,605,27.5,69,373,54,0.1140495867768595,0.6165289256198347,0.08925619834710743,75,39,286,133,40,0.12396694214876033,0.06446280991735537,0.4727272727272727,0.21983471074380165,252,0.41652892561983473,299,306,0.023333333333333334,0
DUQUESNE HEIGHTS,120,6.666666666666667,8,63,42,0.06666666666666667,0.525,0.35,23,11,19,46,19,0.19166666666666668,0.09166666666666666,0.15833333333333333,0.38333333333333336,61,0.5083333333333333,56,64,0.14035087719298245,0
EAST ALLEGHENY,1489,67.68181818181819,282,846,178,0.18938885157824042,0.5681665547347213,0.11954331766286098,139,128,720,325,131,0.09335124244459368,0.08596373404969779,0.48354600402955006,0.2182672934855608,573,0.38482202820685024,629,860,0.36666666666666664,0
EAST CARNEGIE,29,3.2222222222222223,9,14,2,0.3103448275862069,0.4827586206896552,0.06896551724137931,6,4,6,7,3,0.20689655172413793,0.13793103448275862,0.20689655172413793,0.2413793103448276,9,0.3103448275862069,15,14,-0.0625,0
EAST HILLS,556,25.272727272727273,163,263,79,0.2931654676258993,0.47302158273381295,0.1420863309352518,133,45,186,145,28,0.2392086330935252,0.08093525179856115,0.3345323741007194,0.2607913669064748,281,0.5053956834532374,252,304,0.20553359683794467,0
EAST LIBERTY,789,35.86363636363637,181,420,112,0.229404309252218,0.532319391634981,0.14195183776932827,137,263,124,215,24,0.17363751584283904,0.3333333333333333,0.15716096324461343,0.27249683143219267,235,0.29784537389100124,430,359,-0.16473317865429235,1
ELLIOTT,276,12.545454545454545,58,150,38,0.21014492753623187,0.5434782608695652,0.13768115942028986,87,34,65,51,22,0.31521739130434784,0.12318840579710146,0.23550724637681159,0.18478260869565216,89,0.322463768115942,137,139,0.014492753623188406,0
ESPLEN,37,3.0833333333333335,1,22,9,0.02702702702702703,0.5945945945945946,0.24324324324324326,16,0,1,19,0,0.43243243243243246,0.0,0.02702702702702703,0.5135135135135135,7,0.1891891891891892,17,20,0.16666666666666666,0
FAIRYWOOD,52,3.466666666666667,9,30,8,0.17307692307692307,0.5769230769230769,0.15384615384615385,21,6,1,22,2,0.40384615384615385,0.11538461538461539,0.019230769230769232,0.4230769230769231,20,0.38461538461538464,26,26,0.0,0
FINEVIEW,97,5.105263157894737,18,59,10,0.18556701030927836,0.6082474226804123,0.10309278350515463,40,4,30,17,1,0.41237113402061853,0.041237113402061855,0.30927835051546393,0.17525773195876287,38,0.3917525773195876,60,37,-0.3770491803278688,1
FRIENDSHIP,56,3.5,10,26,11,0.17857142857142858,0.4642857142857143,0.19642857142857142,8,15,2,22,2,0.14285714285714285,0.26785714285714285,0.03571428571428571,0.39285714285714285,19,0.3392857142857143,31,25,-0.1875,1
GARFIELD,260,11.818181818181818,71,137,32,0.27307692307692305,0.5269230769230769,0.12307692307692308,64,36,75,67,12,0.24615384615384617,0.13846153846153847,0.28846153846153844,0.25769230769230766,119,0.4576923076923077,132,128,-0.03007518796992481,0
GLEN HAZEL,46,3.066666666666667,5,22,7,0.10869565217391304,0.4782608695652174,0.15217391304347827,19,9,2,9,6,0.41304347826086957,0.1956521739130435,0.043478260869565216,0.1956521739130435,7,0.15217391304347827,21,25,0.18181818181818182,0
GREENFIELD,206,9.363636363636363,13,102,52,0.06310679611650485,0.49514563106796117,0.2524271844660194,48,16,25,79,31,0.23300970873786409,0.07766990291262135,0.12135922330097088,0.38349514563106796,66,0.32038834951456313,104,102,-0.01904761904761905,0
HAYS,62,4.428571428571429,8,36,15,0.12903225806451613,0.5806451612903226,0.24193548387096775,32,3,6,14,6,0.5161290322580645,0.04838709677419355,0.0967741935483871,0.22580645161290322,13,0.20967741935483872,23,39,0.6666666666666666,0
HAZELWOOD,394,17.90909090909091,58,233,62,0.14720812182741116,0.5913705583756346,0.15736040609137056,143,55,58,97,29,0.3629441624365482,0.13959390862944163,0.14720812182741116,0.24619289340101522,145,0.3680203045685279,192,202,0.05181347150259067,0
HIGHLAND PARK,189,8.590909090909092,44,82,33,0.2328042328042328,0.43386243386243384,0.1746031746031746,40,24,37,62,18,0.21164021164021163,0.12698412698412698,0.19576719576719576,0.328042328042328,76,0.4021164021164021,104,85,-0.18095238095238095,1
HOMEWOOD NORTH,635,28.863636363636363,161,315,99,0.25354330708661416,0.49606299212598426,0.15590551181102363,145,58,221,148,43,0.2283464566929134,0.09133858267716535,0.3480314960629921,0.23307086614173228,263,0.4141732283464567,288,347,0.2041522491349481,0
HOMEWOOD SOUTH,750,34.09090909090909,138,387,152,0.184,0.516,0.20266666666666666,128,64,262,228,43,0.17066666666666666,0.08533333333333333,0.34933333333333333,0.304,308,0.4106666666666667,442,308,-0.30248306997742663,1
HOMEWOOD WEST,150,8.333333333333334,34,65,36,0.22666666666666666,0.43333333333333335,0.24,30,21,34,52,8,0.2,0.14,0.22666666666666666,0.3466666666666667,67,0.44666666666666666,78,72,-0.0759493670886076,0
KNOXVILLE,835,37.95454545454545,220,404,128,0.2634730538922156,0.48383233532934133,0.1532934131736527,207,103,252,204,48,0.24790419161676647,0.12335329341317365,0.3017964071856287,0.24431137724550897,379,0.4538922155688623,390,445,0.14066496163682865,0
LARIMER,325,14.772727272727273,94,154,48,0.28923076923076924,0.47384615384615386,0.1476923076923077,72,46,104,72,22,0.22153846153846155,0.14153846153846153,0.32,0.22153846153846155,152,0.4676923076923077,172,153,-0.10982658959537572,1
LINCOLN PLACE,114,5.7,16,61,20,0.14035087719298245,0.5350877192982456,0.17543859649122806,43,15,7,38,7,0.37719298245614036,0.13157894736842105,0.06140350877192982,0.3333333333333333,39,0.34210526315789475,70,44,-0.36619718309859156,1
LINCOLN-LEMINGTON-BELMAR,221,10.045454545454545,57,106,27,0.2579185520361991,0.4796380090497738,0.12217194570135746,47,21,67,70,9,0.21266968325791855,0.09502262443438914,0.3031674208144796,0.3167420814479638,116,0.5248868778280543,100,121,0.2079207920792079,0
LINCOLN–LEMINGTON–BELMAR,525,23.863636363636363,147,283,52,0.28,0.539047619047619,0.09904761904761905,83,147,117,109,55,0.1580952380952381,0.28,0.22285714285714286,0.20761904761904762,167,0.3180952380952381,202,323,0.5960591133004927,0
LOWER LAWRENCEVILLE,79,4.388888888888889,19,39,9,0.24050632911392406,0.4936708860759494,0.11392405063291139,14,18,12,21,12,0.17721518987341772,0.22784810126582278,0.1518987341772152,0.26582278481012656,28,0.35443037974683544,29,50,0.7,0
MANCHESTER,164,8.631578947368421,41,81,21,0.25,0.49390243902439024,0.12804878048780488,48,24,37,45,4,0.2926829268292683,0.14634146341463414,0.22560975609756098,0.27439024390243905,50,0.3048780487804878,80,84,0.04938271604938271,0
MARSHALL-SHADELAND,557,25.318181818181817,123,275,104,0.22082585278276481,0.49371633752244165,0.1867145421903052,181,51,133,145,29,0.3249551166965889,0.09156193895870736,0.23877917414721722,0.26032315978456017,177,0.3177737881508079,285,272,-0.045454545454545456,0
MIDDLE HILL,463,21.045454545454547,79,259,72,0.17062634989200864,0.5593952483801296,0.15550755939524838,76,35,185,113,44,0.16414686825053995,0.0755939524838013,0.39956803455723544,0.24406047516198703,195,0.42116630669546434,228,235,0.03056768558951965,0
MORNINGSIDE,37,3.0833333333333335,6,18,8,0.16216216216216217,0.4864864864864865,0.21621621621621623,10,5,5,13,2,0.2702702702702703,0.13513513513513514,0.13513513513513514,0.35135135135135137,10,0.2702702702702703,19,18,-0.05,0
MOUNT OLIVER,40,3.076923076923077,10,22,4,0.25,0.55,0.1,18,8,8,4,0,0.45,0.2,0.2,0.1,9,0.225,11,29,1.5,0
MOUNT WASHINGTON,507,23.045454545454547,69,256,116,0.13609467455621302,0.504930966469428,0.22879684418145957,137,50,70,184,40,0.2702169625246548,0.09861932938856016,0.13806706114398423,0.3629191321499014,218,0.42998027613412226,256,251,-0.019455252918287938,0
NEW HOMESTEAD,28,3.111111111111111,0,15,8,0.0,0.5357142857142857,0.2857142857142857,11,3,1,10,0,0.39285714285714285,0.10714285714285714,0.03571428571428571,0.35714285714285715,2,0.07142857142857142,17,11,-0.3333333333333333,1
NORTH OAKLAND,163,7.409090909090909,12,54,45,0.0736196319018405,0.3312883435582822,0.27607361963190186,15,20,21,69,15,0.09202453987730061,0.12269938650306748,0.12883435582822086,0.4233128834355828,61,0.37423312883435583,89,74,-0.16666666666666666,1
NORTH SHORE,532,24.181818181818183,53,288,149,0.09962406015037593,0.5413533834586466,0.2800751879699248,128,45,86,202,53,0.24060150375939848,0.08458646616541353,0.16165413533834586,0.37969924812030076,303,0.5695488721804511,263,269,0.022727272727272728,0
NORTHVIEW HEIGHTS,339,16.142857142857142,108,172,34,0.3185840707964602,0.5073746312684366,0.10029498525073746,108,24,113,78,12,0.3185840707964602,0.07079646017699115,0.3333333333333333,0.23008849557522124,141,0.415929203539823,180,159,-0.11602209944751381,1
OAKWOOD,31,2.3846153846153846,6,15,3,0.1935483870967742,0.4838709677419355,0.0967741935483871,8,5,5,9,3,0.25806451612903225,0.16129032258064516,0.16129032258064516,0.2903225806451613,12,0.3870967741935484,19,12,-0.35,1
OVERBROOK,127,6.35,37,61,22,0.29133858267716534,0.48031496062992124,0.1732283464566929,34,16,28,40,8,0.2677165354330709,0.12598425196850394,0.2204724409448819,0.31496062992125984,32,0.25196850393700787,72,55,-0.2328767123287671,1
PERRY NORTH,183,8.318181818181818,45,93,26,0.2459016393442623,0.5081967213114754,0.14207650273224043,68,20,31,52,8,0.37158469945355194,0.1092896174863388,0.16939890710382513,0.28415300546448086,64,0.34972677595628415,107,76,-0.28703703703703703,1
PERRY SOUTH,437,19.863636363636363,79,227,75,0.18077803203661327,0.5194508009153318,0.17162471395881007,122,48,98,131,22,0.2791762013729977,0.10983981693363844,0.2242562929061785,0.2997711670480549,162,0.3707093821510298,202,235,0.1625615763546798,0
POINT BREEZE,115,6.052631578947368,21,45,32,0.1826086956521739,0.391304347826087,0.2782608695652174,21,23,11,39,13,0.1826086956521739,0.2,0.09565217391304348,0.3391304347826087,45,0.391304347826087,55,60,0.08928571428571429,0
POINT BREEZE NORTH,233,10.590909090909092,18,78,41,0.07725321888412018,0.33476394849785407,0.1759656652360515,30,13,45,77,27,0.12875536480686695,0.055793991416309016,0.19313304721030042,0.33047210300429186,53,0.22746781115879827,113,120,0.06140350877192982,0
POLISH HILL,53,3.3125,4,23,19,0.07547169811320754,0.4339622641509434,0.3584905660377358,9,5,0,35,2,0.16981132075471697,0.09433962264150944,0.0,0.660377358490566,35,0.660377358490566,36,17,-0.5135135135135135,1
REGENT SQUARE,23,2.875,2,9,7,0.08695652173913043,0.391304347826087,0.30434782608695654,0,1,5,10,5,0.0,0.043478260869565216,0.21739130434782608,0.43478260869565216,11,0.4782608695652174,5,18,2.1666666666666665,0
RIDGEMONT,17,1.8888888888888888,3,5,3,0.17647058823529413,0.29411764705882354,0.17647058823529413,2,1,2,7,4,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.4117647058823529,5,0.29411764705882354,9,8,-0.1,0
SAINT CLAIR,15,3.0,3,9,1,0.2,0.6,0.06666666666666667,5,3,4,1,1,0.3333333333333333,0.2,0.26666666666666666,0.06666666666666667,3,0.2,12,3,-0.6923076923076923,1
